time,animal_number,death_factor_0,death_factor_1,age_median,age_min,age_025,age_075,age_max,age_mean,age_std,gene_0_median,gene_0_min,gene_0_025,gene_0_075,gene_0_max,gene_0_mean,gene_0_std,gene_1_median,gene_1_min,gene_1_025,gene_1_075,gene_1_max,gene_1_mean,gene_1_std
236,21826,-50,0.6909830056250621,3.0,0,1.0,7.0,58,5.067992302758178,5.591713031260379,0.5043519710353395,-3.7832997548255496,-0.13072309294226972,1.1228524439635947,4.221864854906371,0.4890152812788851,0.930317808140803,3.081478687443819,0.7243978583951141,2.657686089850107,3.522524952433074,5.659493983450375,3.1001602954176937,0.6410531265214943
237,22212,-50,0.4122147477075335,3.0,0,1.0,7.0,59,5.047226724293175,5.5673416903840725,0.5015203549342343,-3.7852756384823536,-0.13418991349489662,1.1357043475016162,4.23413815962538,0.48952020038788824,0.9335021305272333,3.0872253468215165,0.6731052534381219,2.661118683819392,3.5232131047663833,5.632851232091546,3.103810124321003,0.6416430719994319
238,22530,-50,0.19098300562505632,3.0,0,1.0,7.0,50,5.039325343985797,5.563287009492495,0.501309343664918,-3.8207014022378645,-0.1263786982189827,1.1409708060055705,4.258576937256409,0.4932529917219315,0.934715873703072,3.090978757780557,0.931945717908628,2.6587491904977067,3.529099810641696,5.71881645475823,3.1043864655280045,0.6427699631824693
239,22856,-50,0.04894348370484791,3.0,0,1.0,7.0,49,5.033426671333567,5.543289331826501,0.5080046115486488,-3.810016112866078,-0.13046587731188808,1.1456275312920292,4.246818100773854,0.49808160844193416,0.9409852107580879,3.0984270183010745,0.8991947287017226,2.666038399469641,3.5373950891375237,5.659036951425505,3.1097806902753677,0.6445537213814858
240,23133,-50,0.0,3.0,0,1.0,7.0,50,5.042320494531621,5.580337863918179,0.5065956262732981,-3.8933014235240684,-0.1270624945303948,1.154791478128754,4.229719580413409,0.49893338240112617,0.9437048686077185,3.0963195159319032,0.9702863258402974,2.6682592911085328,3.543217818673303,5.640714508999471,3.113099478909362,0.6450316156391149
241,23264,-50,0.048943483704846025,3.0,0,1.0,7.0,49,5.035720426409903,5.5587525486460825,0.510013756612451,-3.8573231886204367,-0.12486078748614104,1.1563705485065445,4.273235854149873,0.4993029499549137,0.9431977726947284,3.090110445675525,0.9008887447061966,2.6616337020215517,3.544532867393911,5.638189708663543,3.1114212409150745,0.6491292772699977
242,23370,-50,0.19098300562505288,3.0,0,1.0,7.0,50,5.0460847240051345,5.586153210535936,0.5083243965735098,-3.727770775480834,-0.123642930264073,1.1569642730429106,4.302873961394669,0.5023393310215516,0.9469417425543956,3.097305201838908,0.8208278137462387,2.6703927835118217,3.5478055838837568,5.710850223993495,3.1172141779920737,0.6502940844685358
243,23470,-50,0.41221474770752875,3.0,0,1.0,7.0,51,5.0458883681295275,5.598235989694922,0.5069634269447936,-3.6489361254538037,-0.13143619224103115,1.1619108804684848,4.342464092183767,0.5018630727916538,0.9526746507632716,3.1028983336063227,0.8524023346676394,2.6703909461409214,3.5549959025081743,5.644714135242401,3.1209478840807265,0.6537752549296131
244,23518,-50,0.6909830056250565,3.0,0,1.0,7.0,52,5.027851007738754,5.587793443195671,0.498894452421211,-3.7389463396333857,-0.13140179102408467,1.159436145457629,4.291351919010773,0.49772104482027046,0.9551374952912797,3.1065158543395404,0.8859817940215808,2.6735546573131646,3.560589316672413,5.6888189073522275,3.1264169086902562,0.653918375284229
245,23602,-50,0.9999999999999917,3.0,0,1.0,7.0,53,5.021311753241251,5.5620171019475855,0.5018829702877602,-3.76285715917254,-0.13293495301790956,1.1568792475176721,4.312618829701992,0.498815503075333,0.9522205115785476,3.106752230765755,0.8757975555112403,2.673778575718381,3.5677365459865182,5.680116740000658,3.129081414534015,0.657215857700053
246,23482,-50,1.3090169943749412,3.0,0,1.0,7.0,54,5.000894302018567,5.526819732956926,0.5032679140274251,-3.7994072520841216,-0.1321597200483968,1.1523222691838715,4.33785971796278,0.5007869761839759,0.9529589413603118,3.111825961368657,0.8222427152529284,2.67479096152152,3.5724104520214706,5.701920028668451,3.132244370870774,0.6583206986382509
247,23312,-50,1.5877852522924694,3.0,0,1.0,7.0,55,5.01008064516129,5.523327608049045,0.5128394118399596,-3.8097760091327246,-0.13368061893238103,1.158510627509145,4.3765729377496365,0.5035564914617295,0.956137902961665,3.1161088813725337,0.7786252012751215,2.6832563978488078,3.58005042559405,5.685536137731999,3.137445978829053,0.6606307046897564
248,23025,-50,1.8090169943749457,3.0,0,1.0,7.0,52,4.997350705754615,5.5026154610103655,0.5144179480532144,-3.865903475904423,-0.14302771952435336,1.159752477715767,4.394171747487133,0.5011277314865974,0.95837436801656,3.1236302556981497,0.765504744189121,2.6919671868901798,3.58394815347682,5.712088393784282,3.14446438586243,0.6608306651152289
249,22672,-50,1.9510565162951532,3.0,0,1.0,7.0,53,5.002381792519407,5.482320141095723,0.5143804649044187,-3.8180091988143343,-0.14310430445548733,1.1596075107631147,4.356030202746949,0.5006874215626922,0.965857115105896,3.140033283687112,0.7816543805360613,2.7039091635781123,3.602096239440505,5.73113149542518,3.1587564568400315,0.662589842101266
250,22238,-50,2.0,3.0,0,1.0,7.0,54,4.998426117456606,5.485687437031813,0.5099225199726236,-3.749722885702043,-0.14217880480567324,1.160164778265153,4.355944931062868,0.49668265617923674,0.9701516152398919,3.1491472221345336,0.7884400777581496,2.72018438319735,3.611366896400125,5.8119090962340785,3.172053056299925,0.6591547639015064
251,21824,-50,1.9510565162951528,3.0,0,1.0,7.0,55,4.9531708211143695,5.4397448368627535,0.509802216253807,-3.790872441080203,-0.15221277139563716,1.1512916052606954,4.448459355330874,0.4915525298814305,0.9758966205441635,3.17026162081026,0.8079885076555167,2.7467884258486683,3.6253722167167592,5.8193035456292534,3.1882448949175033,0.6543636789456475
252,21644,-50,1.8090169943749534,3.0,0,1.0,7.0,56,4.9625762335982255,5.422645687105567,0.5105729701625754,-3.839116448412537,-0.14410124612800324,1.1576817407510367,4.2919789837077085,0.49584217379748197,0.9789364830557142,3.1797520248903055,1.0665369077892577,2.7581382156716545,3.6385555154416696,5.703745258126771,3.199058362669027,0.6559377117665897
253,21573,-50,1.58778525229248,3.0,0,1.0,7.0,57,4.971353080239188,5.443831240688048,0.5128111167481758,-3.9250036138865565,-0.13679857149569438,1.1569095681289872,4.305272864108787,0.49840237233072,0.9789787145777114,3.188421185050084,1.0189774804200769,2.7593243147239614,3.658752798304784,5.68248251322262,3.2115256207319343,0.6586557696152785
254,21711,-50,1.3090169943749537,3.0,0,1.0,7.0,53,4.975312053797614,5.441261910673484,0.5164683141413426,-3.9929019363157776,-0.142064937741179,1.1552575687518962,4.367614481784394,0.4971004909207683,0.9830383342476399,3.204160565043097,1.0252688852941523,2.7736562374538547,3.6700561901658215,5.75366159691959,3.2244808743376034,0.6599152490681318
255,21889,-50,1.0000000000000049,3.0,0,1.0,7.0,49,4.9649138836858695,5.4279133899813115,0.5134741560256717,-4.073268302964322,-0.15220539946455008,1.1622967739735472,4.313469521023526,0.4939230973653172,0.9837983820363174,3.2155648965241537,0.9524934909279706,2.788391172009962,3.6851654067049835,5.698033129898548,3.2347864327214118,0.6622313784759178
256,22114,-50,0.6909830056250555,3.0,0,1.0,7.0,50,4.974224473184408,5.4512951480589065,0.5169557603236794,-4.1407462692050245,-0.15553049609129507,1.160430616456347,4.279156504589126,0.49462390116607274,0.9866781367250658,3.218347109161914,0.9607337517813017,2.7880113963174313,3.6895795282703867,5.7803553207378915,3.2386510061866103,0.6652845240603615
257,22496,-50,0.412214747707528,3.0,0,1.0,7.0,50,5.00600106685633,5.502279487930344,0.5137441153100271,-4.20131903369181,-0.1635604812605633,1.159032591871509,4.315577350953525,0.4891157702590094,0.991703237283798,3.2204854842503137,0.8959169566134129,2.7883291879626717,3.688701659323259,5.82813282241313,3.241001944948009,0.6655914813531397
258,22714,-50,0.19098300562505233,3.0,0,1.0,7.0,51,5.03693757154178,5.536275662931452,0.5133945918306193,-4.260449098298569,-0.16544745650929824,1.1591413823345476,4.286212980928444,0.489405999318982,0.9950497558689341,3.227896926100433,1.0309861457853047,2.7900667366156915,3.6849715706861876,5.862637380713222,3.240840352147118,0.6683054422690154
259,22893,-50,0.0489434837048458,3.0,0,1.0,7.0,52,5.027781417900668,5.509201473788493,0.5126364290188262,-4.224524136813779,-0.16781873503287165,1.1535270942436908,4.254249352463375,0.48590382610200117,0.9942990670187828,3.2250968743226562,0.9488908582460847,2.787081265427519,3.6919399238143664,5.896930422149671,3.2453112506801234,0.6682742276519502
260,23234,-50,0.0,3.0,0,1.0,7.0,53,5.030902987001808,5.500740681403244,0.5139113197023283,-4.186647654364548,-0.16844498836183663,1.164091523632969,4.274876484996363,0.4901102844391238,0.9984497966299531,3.224667679934064,0.8679191333295521,2.782401832434206,3.6900743643830873,5.853543544886306,3.2432296567422925,0.6697327063275688
261,23476,-50,0.048943483704843804,3.0,0,1.0,7.0,54,5.031819730788891,5.507786703815555,0.5118601988555065,-4.221063381795496,-0.16722589163640245,1.1698211722323741,4.266128582890655,0.4855102228195118,1.0022786652184106,3.2302663467668093,0.824615318390253,2.781581845280643,3.6920428781066814,5.913487110119836,3.2473516114092535,0.6710169660180861
262,23630,-50,0.19098300562504855,3.0,0,1.0,7.0,55,5.0065594583157,5.476831451289142,0.5173389959073975,-4.266710678975938,-0.16968591347483727,1.1766807167276951,4.347264870939475,0.4894887558948269,1.0044806713514,3.2319346854207174,0.8906523736284586,2.783004032567954,3.690172595916252,5.866698444218151,3.246753261634588,0.6716745923178001
263,23710,-50,0.41221474770752287,3.0,0,1.0,7.0,56,5.009025727541122,5.492205544372945,0.5130290353183863,-4.279968205565943,-0.1700005342613805,1.1631864832670182,4.321881246755825,0.4841727660175156,1.005892608443059,3.2332913383927355,0.8841642675786802,2.7867622885170196,3.693811566132154,5.775101817855161,3.248344978184593,0.6746223124067664
264,23841,-50,0.6909830056250494,3.0,0,1.0,7.0,57,4.99257581477287,5.4660859822857075,0.5107105031170474,-4.314338360308324,-0.1719503627964225,1.1612440875740155,4.402240381159995,0.4805320384911363,1.0056698003112898,3.2335106934818194,0.8514835194210582,2.792261004498983,3.701523962144824,5.872583517647111,3.253414246428202,0.6716922663849667
265,23979,-50,0.9999999999999986,3.0,0,1.0,7.0,53,5.006422286167063,5.481833906681077,0.5034402688358299,-4.346695959625169,-0.1787277515802569,1.1526210429612307,4.434480885759064,0.47761848298091175,1.003469465788343,3.2412168825011762,0.7923011029645344,2.7956057326129997,3.700910742012581,5.9236787714387455,3.2562867057723066,0.6697372325633345
